Episode,AI_Won,Total_Reward,Epsilon
431,0,-2343.07,0.00500081
432,1,6110.26,0.00500081
433,1,-838.967,0.00500081
434,1,3811.77,0.00500081
435,1,662.929,0.00500081
436,0,237.316,0.00500081
437,1,2050.63,0.00500081
438,1,2812.06,0.00500081
439,1,295.957,0.00500081
440,0,572.968,0.00500081
441,1,2077.59,0.00500081
442,1,3395.78,0.00500081
443,1,1628.53,0.00500081
444,1,5356.52,0.00500081
445,1,77.9012,0.00500081
446,0,2302.07,0.00500081
447,1,2891.84,0.00500081
448,0,-543.65,0.00500081
449,1,3157.5,0.00500081
450,1,2341.36,0.00500081
451,1,1850.88,0.00500081
452,0,-826.97,0.00500081
453,1,3875.3,0.00500081
454,0,868.853,0.00500081
455,1,3786.11,0.00500081
456,0,-812.796,0.00500081
457,1,2710.75,0.00500081
458,0,-726.152,0.00500081
459,1,1790.73,0.00500081
460,1,4651.6,0.00500081
461,1,527.835,0.00500081
462,0,-1101.31,0.00500081
463,1,2894.17,0.00500081
464,0,-1215.26,0.00500081
465,1,1584.27,0.00500081
466,1,-91.9985,0.00500081
467,1,-85.0586,0.00500081
468,0,-3402.33,0.00500081
469,0,-1584.16,0.00500081
470,0,11.8638,0.00500081
471,0,-1759.88,0.00500081
472,0,1134.69,0.00500081
473,1,1952.09,0.00500081
474,1,3768.19,0.00500081
475,1,2167.41,0.00500081
476,1,3748.71,0.00500081
477,1,1638.66,0.00500081
478,0,-1186.54,0.00500081
479,0,-2140.77,0.00500081
480,0,1728.01,0.00500081
481,0,-2297.09,0.00500081
482,0,2565.58,0.00500081
483,0,-2411.16,0.00500081
484,0,2426.67,0.00500081
485,0,-2100.54,0.00500081
486,0,2895.92,0.00500081
487,0,-2433.79,0.00500081
488,1,6563.91,0.00500081
489,1,1662.54,0.00500081
490,1,4337.62,0.00500081
491,0,-3554.47,0.00500081
492,0,2869.06,0.00500081
493,0,-2481.75,0.00500081
494,0,2740.88,0.00500081
495,0,-2116.13,0.00500081
496,0,3426.82,0.00500081
497,0,-2308.92,0.00500081
498,0,2744.3,0.00500081
499,0,-1777.98,0.00500081
500,0,3347.43,0.00500081
501,0,-2199.9,0.00500081
502,0,2934.35,0.00500081
503,0,-2356.89,0.00500081
504,0,3300.79,0.00500081
505,0,-2076.14,0.00500081
506,0,3030.81,0.00500081
507,0,-2018.5,0.00500081
508,0,2962.08,0.00500081
509,0,-2259.93,0.00500081
510,0,2526.97,0.00500081
511,0,-1911.15,0.00500081
512,0,2597.92,0.00500081
513,0,-2362.11,0.00500081
514,0,-413.78,0.00500081
515,1,2401.25,0.00500081
516,0,-1279.16,0.00500081
517,1,2870.88,0.00500081
518,0,-2489.8,0.00500081
519,1,2673.27,0.00500081
520,0,-2468.14,0.00500081
521,1,2820.89,0.00500081
522,1,923.899,0.00500081
523,1,1218.86,0.00500081
524,0,-2450.16,0.00500081
525,1,2950.28,0.00500081
526,0,-159.118,0.00500081
527,1,2645.05,0.00500081
528,0,-76.1272,0.00500081
529,0,-1213.77,0.00500081
530,0,-1909.14,0.00500081
531,1,3149.02,0.00500081
532,0,-510.556,0.00500081
533,0,-1261.94,0.00500081
534,0,-1826.56,0.00500081
535,1,3044.31,0.00500081
536,1,1806.86,0.00500081
537,1,-634.901,0.00500081
538,0,-1019.17,0.00500081
539,0,-1179.46,0.00500081
540,0,-2023.98,0.00500081
541,1,3219.92,0.00500081
542,1,1907.66,0.00500081
543,1,-1279.93,0.00500081
544,0,43.4107,0.00500081
545,0,-2452.38,0.00500081
546,0,1951.77,0.00500081
547,0,-2547.19,0.00500081
548,0,1969.54,0.00500081
549,0,-1315.2,0.00500081
550,0,-1956.92,0.00500081
551,1,2403.15,0.00500081
552,1,2232.87,0.00500081
553,1,1443.07,0.00500081
554,0,-878.903,0.00500081
555,0,-1568.82,0.00500081
556,0,1628.18,0.00500081
557,0,-1459.79,0.00500081
558,0,-2257.66,0.00500081
559,1,2881.29,0.00500081
560,1,3193.39,0.00500081
561,1,1300.92,0.00500081
562,0,155.193,0.00500081
563,1,2768.88,0.00500081
564,0,712.772,0.00500081
